frame,timestamp,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,fps,confidence,tracking_status
641,1768440460.4253876,,,,,,,10.22,,lost
642,1768440460.6133952,,,,,,,10.10,,lost
652,1768440462.3606923,,,,,,,9.52,,lost
653,1768440462.515208,,,,,,,9.52,,lost
654,1768440462.669336,,,,,,,9.48,,lost
674,1768440466.0764592,,,,,,,8.80,,lost
675,1768440466.2220078,,,,,,,8.88,,lost
676,1768440466.3543983,,,,,,,8.97,,lost
677,1768440466.4903727,,,,,,,9.01,,lost
679,1768440466.8123014,,,,,,,9.06,,lost
680,1768440466.9534442,,,,,,,9.12,,lost
681,1768440467.0988498,,,,,,,9.15,,lost
682,1768440467.2393637,,,,,,,9.26,,lost
683,1768440467.375641,,,,,,,9.26,,lost
684,1768440467.5198128,,,,,,,9.29,,lost
685,1768440467.6857672,,,,,,,9.27,,lost
687,1768440468.0322385,,,,,,,9.31,,lost
688,1768440468.2430644,,,,,,,9.19,,lost
689,1768440468.3992355,,,,,,,9.26,,lost
690,1768440468.5372686,,,,,,,9.27,,lost
692,1768440468.8533351,,,,,,,9.35,,lost
694,1768440469.2359788,,,,,,,9.19,,lost
695,1768440469.4154704,,,,,,,9.15,,lost
696,1768440469.554022,,,,,,,9.22,,lost
697,1768440469.6934676,,,,,,,9.30,,lost
698,1768440469.84161,,,,,,,9.28,,lost
699,1768440469.977132,,,,,,,9.41,,lost
700,1768440470.1454003,,,,,,,9.41,,lost
701,1768440470.306435,,,,,,,9.43,,lost
702,1768440470.4486303,,,,,,,9.46,,lost
703,1768440470.5978012,,,,,,,9.58,,lost
704,1768440470.7425992,,,,,,,9.64,,lost
705,1768440470.9055543,,,,,,,9.58,,lost
706,1768440471.096975,,,,,,,9.49,,lost
707,1768440471.26047,,,,,,,9.41,,lost
708,1768440471.4108505,,,,,,,9.45,,lost
709,1768440471.563175,,,,,,,9.48,,lost
710,1768440471.7414134,,,,,,,9.39,,lost
711,1768440471.9090774,,,,,,,9.37,,lost
712,1768440472.1010485,,,,,,,9.24,,lost
713,1768440472.2408824,,,,,,,9.26,,lost
714,1768440472.3722603,,,,,,,9.29,,lost
715,1768440472.5060267,,,,,,,9.35,,lost
716,1768440472.6657126,,,,,,,9.37,,lost
717,1768440472.8226564,,,,,,,9.37,,lost
718,1768440473.0042384,,,,,,,9.50,,lost
719,1768440473.1681678,,,,,,,9.53,,lost
720,1768440473.3566968,,,,,,,9.43,,lost
721,1768440473.500072,,,,,,,9.47,,lost
722,1768440473.6471903,,,,,,,9.49,,lost
723,1768440473.7946343,,,,,,,9.58,,lost
724,1768440473.9757133,,,,,,,9.61,,lost
725,1768440474.1400862,,,,,,,9.61,,lost
726,1768440474.2919605,,,,,,,9.60,,lost
727,1768440474.4458134,,,,,,,9.56,,lost
728,1768440474.6092808,,,,,,,9.50,,lost
729,1768440474.7644198,,,,,,,9.46,,lost
730,1768440474.9184694,,,,,,,9.48,,lost
731,1768440475.0577137,,,,,,,9.57,,lost
732,1768440475.2125802,,,,,,,9.52,,lost
733,1768440475.3527288,,,,,,,9.56,,lost
734,1768440475.4975865,,,,,,,9.55,,lost
735,1768440475.6274505,,,,,,,9.61,,lost
736,1768440475.7558343,,,,,,,9.71,,lost
737,1768440475.8970478,,,,,,,9.81,,lost
738,1768440476.0301535,,,,,,,9.81,,lost
739,1768440476.1621017,,,,,,,9.87,,lost
740,1768440476.3150382,,,,,,,9.92,,lost
741,1768440476.476233,,,,,,,9.90,,lost
742,1768440476.652535,,,,,,,9.94,,lost
743,1768440476.811459,,,,,,,9.88,,lost
744,1768440476.9587092,,,,,,,9.84,,lost
745,1768440477.150017,,,,,,,9.72,,lost
746,1768440477.322697,,,,,,,9.69,,lost
747,1768440477.4762917,,,,,,,9.71,,lost
748,1768440477.6262796,,,,,,,9.79,,lost
749,1768440477.7889392,,,,,,,9.76,,lost
750,1768440477.9483907,,,,,,,9.77,,lost
751,1768440478.1212294,,,,,,,9.71,,lost
752,1768440478.266005,,,,,,,9.72,,lost
753,1768440478.4083211,,,,,,,9.73,,lost
754,1768440478.548882,,,,,,,9.83,,lost
759,1768440479.2792573,,,,,,,9.89,,lost
764,1768440480.013948,,,,,,,9.88,,lost
766,1768440480.3706522,,,,,,,9.72,,lost
769,1768440480.9061048,,,,,,,9.41,,lost
770,1768440481.1062367,,,,,,,9.32,,lost
