# Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
214,1744787382.997956,2025-04-16 03:09:42.997
215,1744787383.352956,2025-04-16 03:09:43.352
216,1744787383.590956,2025-04-16 03:09:43.590
217,1744787383.844956,2025-04-16 03:09:43.844
218,1744787384.108956,2025-04-16 03:09:44.108
219,1744787384.339956,2025-04-16 03:09:44.339
220,1744787384.600956,2025-04-16 03:09:44.600
221,1744787384.985956,2025-04-16 03:09:44.985
222,1744787385.281956,2025-04-16 03:09:45.281
223,1744787385.556956,2025-04-16 03:09:45.556
224,1744787385.945956,2025-04-16 03:09:45.945
225,1744787386.258956,2025-04-16 03:09:46.258
226,1744787386.633956,2025-04-16 03:09:46.633
227,1744787386.972956,2025-04-16 03:09:46.972
228,1744787387.249956,2025-04-16 03:09:47.249
229,1744787387.504956,2025-04-16 03:09:47.504
230,1744787387.836956,2025-04-16 03:09:47.836
231,1744787388.068956,2025-04-16 03:09:48.068
232,1744787388.289956,2025-04-16 03:09:48.289
233,1744787388.573956,2025-04-16 03:09:48.573
234,1744787388.809956,2025-04-16 03:09:48.809
235,1744787389.034956,2025-04-16 03:09:49.034
236,1744787389.269956,2025-04-16 03:09:49.269
237,1744787389.512956,2025-04-16 03:09:49.512
238,1744787389.774956,2025-04-16 03:09:49.774
239,1744787389.995956,2025-04-16 03:09:49.995
240,1744787390.292956,2025-04-16 03:09:50.292
241,1744787390.660956,2025-04-16 03:09:50.660
242,1744787390.961956,2025-04-16 03:09:50.961
243,1744787391.316956,2025-04-16 03:09:51.316
244,1744787391.696956,2025-04-16 03:09:51.696
245,1744787392.049956,2025-04-16 03:09:52.049
246,1744787392.344956,2025-04-16 03:09:52.344
247,1744787392.595956,2025-04-16 03:09:52.595
248,1744787392.946956,2025-04-16 03:09:52.946
249,1744787393.286956,2025-04-16 03:09:53.286
250,1744787393.597956,2025-04-16 03:09:53.597
251,1744787393.894956,2025-04-16 03:09:53.894
252,1744787394.155956,2025-04-16 03:09:54.155
253,1744787394.437956,2025-04-16 03:09:54.437
254,1744787394.770956,2025-04-16 03:09:54.770
255,1744787395.029956,2025-04-16 03:09:55.029
256,1744787395.386956,2025-04-16 03:09:55.386
257,1744787395.657956,2025-04-16 03:09:55.657
258,1744787396.026956,2025-04-16 03:09:56.026
259,1744787396.390956,2025-04-16 03:09:56.390
260,1744787396.689956,2025-04-16 03:09:56.689
261,1744787397.068956,2025-04-16 03:09:57.068
262,1744787397.357956,2025-04-16 03:09:57.357
263,1744787397.677956,2025-04-16 03:09:57.677
264,1744787397.929956,2025-04-16 03:09:57.929
265,1744787398.284956,2025-04-16 03:09:58.284
266,1744787398.536956,2025-04-16 03:09:58.536
267,1744787398.747956,2025-04-16 03:09:58.747
268,1744787398.947956,2025-04-16 03:09:58.947
269,1744787399.205956,2025-04-16 03:09:59.205
270,1744787399.540956,2025-04-16 03:09:59.540
271,1744787399.879956,2025-04-16 03:09:59.879
272,1744787400.139956,2025-04-16 03:10:00.139
273,1744787400.449956,2025-04-16 03:10:00.449
274,1744787400.763956,2025-04-16 03:10:00.763
275,1744787401.067956,2025-04-16 03:10:01.067
276,1744787401.449956,2025-04-16 03:10:01.449
277,1744787401.782956,2025-04-16 03:10:01.782
278,1744787402.084956,2025-04-16 03:10:02.084
279,1744787402.389956,2025-04-16 03:10:02.389
280,1744787402.653956,2025-04-16 03:10:02.653
281,1744787402.971956,2025-04-16 03:10:02.971
282,1744787403.308956,2025-04-16 03:10:03.308
283,1744787403.564956,2025-04-16 03:10:03.564
284,1744787403.789956,2025-04-16 03:10:03.789
285,1744787404.023956,2025-04-16 03:10:04.023
286,1744787404.227956,2025-04-16 03:10:04.227
287,1744787404.444956,2025-04-16 03:10:04.444
288,1744787404.676956,2025-04-16 03:10:04.676
289,1744787405.013956,2025-04-16 03:10:05.013
290,1744787405.261956,2025-04-16 03:10:05.261
291,1744787405.566956,2025-04-16 03:10:05.566
292,1744787405.997956,2025-04-16 03:10:05.997
293,1744787406.424956,2025-04-16 03:10:06.424
294,1744787406.632956,2025-04-16 03:10:06.632
295,1744787406.884956,2025-04-16 03:10:06.884
296,1744787407.096956,2025-04-16 03:10:07.096
297,1744787407.309956,2025-04-16 03:10:07.309
298,1744787407.507956,2025-04-16 03:10:07.507
299,1744787407.710956,2025-04-16 03:10:07.710
300,1744787407.920956,2025-04-16 03:10:07.920
301,1744787408.135956,2025-04-16 03:10:08.135
302,1744787408.341956,2025-04-16 03:10:08.341
303,1744787408.556956,2025-04-16 03:10:08.556
304,1744787408.947956,2025-04-16 03:10:08.947
305,1744787409.320956,2025-04-16 03:10:09.320
306,1744787409.694956,2025-04-16 03:10:09.694
307,1744787410.006956,2025-04-16 03:10:10.006
308,1744787410.382956,2025-04-16 03:10:10.382
309,1744787410.755956,2025-04-16 03:10:10.755
310,1744787411.152956,2025-04-16 03:10:11.152
311,1744787411.497956,2025-04-16 03:10:11.497
312,1744787411.866956,2025-04-16 03:10:11.866
313,1744787412.239956,2025-04-16 03:10:12.239
314,1744787412.618956,2025-04-16 03:10:12.618
315,1744787412.990956,2025-04-16 03:10:12.990
316,1744787413.311956,2025-04-16 03:10:13.311
317,1744787413.681956,2025-04-16 03:10:13.681
318,1744787414.086956,2025-04-16 03:10:14.086
319,1744787414.494956,2025-04-16 03:10:14.494
320,1744787414.916956,2025-04-16 03:10:14.916
321,1744787415.333956,2025-04-16 03:10:15.333
322,1744787415.710956,2025-04-16 03:10:15.710
323,1744787416.095956,2025-04-16 03:10:16.095
324,1744787416.485956,2025-04-16 03:10:16.485
325,1744787416.798956,2025-04-16 03:10:16.798
326,1744787417.168956,2025-04-16 03:10:17.168
